,"Diagnostic Arthroscopy","3","38640","48300","57960"
,"ACL Repair","3","66240","82800","99360"
,"Discectomy","5","92000","115000","138000"
,"Open Reduction & Internal Fixation of Fingers & Toes","3","49680","62100","74520"
,"Open Reduction of Dislocations Deep","3","58880","73600","88320"
,"Open Reduction of Dislocations Superficial","3","49680","62100","74520"
,"Open Reduction of Fracture Dislocation & Internal Fixations","3","66240","82800","99360"
,"Open Reduction of Fracture Neck Femur Muscle Pedical Graft & Internal Fixations","3","66240","82800"," 99360"
,"Open Reduction of Long Bones of Upper & Lower Limb","3","58880","73600"," 88320"
,"PCL Repair","3","66240","82800"," 99360"
,"Reduction of Compound Fractures with External Fixation","5","73600","92000"," 110400"
,"TKR - Bilateral","5","312800","391000"," 469200"
,"TKR – Unilateral","5","184000","230000"," 276000"
,"Circumcision","1","14720","18400"," 22080"
,"Cystoscopic Basketing of Stones","2","44160","55200"," 66240"
,"Cystoscopy","1","16560","20700"," 24840"
,"Dilatation of Stricture Urethra","1","20240","25300"," 30360"
,"DJ Stent Removal","1","17480","21850"," 26220"
,"DJ Stenting (with stent cost)-Bi-lateral","1","38640","48300"," 57960"
,"DJ Stenting (with stent cost)-Unilateral","1","31280","39100"," 46920"
,"Nephrectomy","3","58880","73600"," 88320"
,"Laparoscopic  Nephrectomy","3","69920","87400","104880"
,"Operaton for Torsion of Testis","3","44160","55200"," 66240"
,"PCNL","3","55200","69000"," 82800"
,"TURP","3","55200","69000"," 82800"
,"Mastoidectomy+ Tympanoplasty- including Meatoplasty","3","66240","82800","99360"
,"Septoplasty with Turbinoplasty for Inferior & Middle Turbinates","2","42320","52900","63480"
,"Tonsillectomy & Adenoidectomy","3","42320","52900","63480"
,"Adenoidectomy","2","23552","29440","35328"
,"Adenoidectomy with Grommet","2","29440","36800","44160"
,"Microlaryngeal excision of Nodule/Polyp/Cysts/Biopsy","1","27600","34500","41400"
,"Minor Amputation","2","31348","36685","44022"
,"Major Amputation","3","64952","81190","97428"
,"Guillotine Amputation","3","64952","81190","97428"
,"HernioPlasty - Femoral/ Inguinal / Umblical - Excluding Cost of Mesh","2","36800","46000","55200"
,"Hernioplasty - Femoral/ Inguinal / Bilateral - Excluding Cost of Mesh","3","51520","64400","77280"
,"Hernioplasty - Incisional - Excluding Cost of Mesh","3","46000","57500","69000"
,"Laparoscopic Hernioplasty - inguinal - Umblical - Excluding Cost of Mesh","2","46000","57500","69000"
,"Laparoscopic Hernioplasty - Incisional/ Ventral","3","70000","87500","105000"
,"Emergency Laparotomy (Open / Laparoscopy) - Clouser of Gastro Intestinal Perforation","3","70000","87500","105000"
,"Emergency Laparotomy (Open / Laparoscopy) - Intestinal Bypass","3","73600","92000","110400"
,"Emergency Laparotomy (Open / Laparoscopy) - Resection and Anastomosis","3","82800","103500","124200"
,"Elective Laparotomy (Open / Laparoscopy) - Lymph Node Biopsy","3","55200","69000","82800"
,"Elective Laparotomy (Open / Laparoscopy) - Intestinal Bypass","3","70000","87500","105000"
,"Elective Laparotomy","3","73600","92000","110400"
,"(Open/Laparoscop) - Resection and Anastomos",,,,
,"Lipoma GA","2","16560","20700","24840"
,"Lymph Node Biopsy (Cervical / Axillary / Inguinal) - Under GA","2","16560","20700","24840"
,"Perianal Abscess","2","20240","25300","30360"
,"Breast Lumpectomy – Under GA","2","33120","41400","49680"
,"Surgery for Varicose Veins Saphenofemoral Ligation and Stripping / Sclerotherapy - Unilateral/ Bilateral","3","45000","57500","69000"
,"varicose Veins - Radiofrequency ablation, endovenous laser treatment","4","92000","115000","138000"
,"Laparoscopic Fundoplication","4","115000","143750","172500"
,"Operation for Intestinal Obstructions","3","73600","92000","110400"
,"Colonic Resection for Malignacy ","4","128800","161000","193200"
,"Anterior Resection for Colorectal Cancer","4","165600","207000","248000"
,"Abdominoperineal Resection","4","165600","207000","248000"
,"Hysterectomy - Abdominal - with or without BSO","5","54280","67850","81420"
,"Hysterectomy - Abdominal - with or without BSO - Laparoscopic","4","56580","70725","84870"
,"Hysterectomy - Vaginal - with or without Pelvic Floor Repair","3","45000","57500","69000"
,"D & C with Hysteroscopy","2","27600","34500","41400"
,"Open - Wertheims Operation","3","73600","92000","110400"
,"Laparoscopic - Wertheims Operation","3","87400","109250","131100"
,"ACL/PCL/MCL Reconstruction - Excluding Cost of Implant","2","82800","103500","124500"
,"Menisectomy ","3","42780","53475","64170"
,"Closed Reduction - Dislocation - Minor","1","9660","12075","14490"
,"Closed Reduction - Dislocation - Major","2","23000","28750","34500"
,"Implant Removal - Minor","1","21160","26450","31740"
,"Implant Removal – Major","2","29440","36800","44160"
,"Open Reduction – Dislocation- Minor","3","49680","62100","74520"
,"Open Reduction – Dislocation- Major","3","58880","73600","88320"
,"ORIF of Fracture - K wire - Including Cost of Implant","2","44160","55200","66240"
,"ORIF of Fracture - Plating - Excluding Cost of Implant","3","51520","64400","77280"
,"Nailing - Interlocking - Excluding Cost of Impant","3","60720","75900","91080"
,"# Neck Femur - Excluding Cost of Implant","4","69000","86250","103500"
,"Laminectomy / Discectomy","4","82800","103500","124200"
,"Spinal Fusion - Where implant is not going to be used","5","110400","138000","165600"
,"Spinal Fusion - Where implant is not going to be used - Excluding Cost of Implant","5","126960","158700","190440"
,"Closed Reduction of Fracture Under GA","2","18400","23000","27600"
,"ORIF (Long Bones)","4","52440","65550","82080"
,"ORIF (Small Bones)","3","52440","65550","82080"
,"Arthoscopy of Knee (Diagnostic)","2","27600","34500","41400"
,"Percutaneous Fixation – Long Bones","3","28240","35300","42360"
,"Interlocking Nailing – Long Bones","3","60720","75900","91080"
,"Removal of Forearm Nail, Screw, Wires","3","31740","39675","47610"
,"Shoulder Dislocation – Knee Dislocation","3","39860","49825","59790"
,"Femoral – Neck Fracture","5","69000","86250","103500"
,"Hemiarthroplasty - Excluding Cost of Implant","5","76360","95450","114540"
,"Total Hip Replacement - Excluding Cost of Implant U/L","5","124200","155250","186300"
,"Dynamic Hip Screw - Excluding Cost of Implant","5","62560","78200","93840"
,"Operation for Osteomyelitis","5","49680","62100","74520"
,"Arthrotomy and Drainage (Arthroscopic","5","51520","64400","77280"
,"A V Fistula for Dialysis","2","23000","28750","34500"
,"Hydrocelectomy Unilateral","2","20240","25300","30360"
,"Hydrocelectomy Bilateral","2","27600","34500","41400"
,"Varicocelectomy","2","20240","25300","30360"
,"URS Lithotripsy - Including DJ Stent","2","36800","46000","55200"
,"Endoscopy with Visual Internal Urethrotomy (Optical Urethrotomy)","2","32200","40250","48300"
,"Hypospadias Stage 2","2","50320","62900","75480"
,"Hypospadias Single Stage ","3","64952","81190","97428"
,"Cystoscopy - with / without Biopsy","1","16560","20700","24840"
,"Cystoscopy & TURBT","2","55200","69000","82800"
,"Cystoscopy & DJ Stent Removal","1","17480","21850","26220"
,"Cystolithotomy","2","36800","46000","55200"
,"Orchidectomy - Unilateral","2","16560","20700","24840"
,"Orchidectomy - Bilateral","2","23000","28750","34500"
,"Pyeloplasty","3","66952","81190","97428"
,"Pyelolithotomy","3","66952","81190","97428"
,"Nephrolithotomy","3","66952","81190","97428"
,"DJ Stent Insertion","1","23000","28750","34500"
,"Amputation of Penis","2","50320","62900","75480"
,"Ureteroscopy","2","33120","41400","49680"
,"Cystoscopy URS with DJ Stenting - Unilateral","2","33120","41400","49680"
,"Anatrophic Nephrolithotomy for Staghorn Calculus","3","66952","81190","97428"
,"Radical Nephrectomy","3","79120","98900","118680"
,"Operation for Torsion of Tests","2","32200","40250","48300"
,"Meningomyelocele","3","75440","94300","113160"
,"Ventriculo - Peritoneal Shunt","3","75440","94300","113160"
,"Meningomyelocele Excision and Repair","3","85920","107400","128880"
,"Prolapse Uterus/Rectocele/Ureterocele","3","55200","69000","82800"
,"Dilatation of Stricture Urethra-under GA","1","13800","17250","20700"
,"Cystoscopy with Retrograde Cathetersiation Bilateral","3","45000","57500","69000"
,"Endoscopic Removal of Stone in Bladder","2","32200","40250","48300"
,"Resection Bladder Neck Endoscopic","3","55200","69000","82800"
,"Transurethral Resection Bladder Tumour(TURBT)","3","55200","69000","82800"
