Speciality|Service
Dermatologist|Thread Lift
Dermatologist|Laser therapy
Dermatologist|Microdermabrasion
Dermatologist|Wrinkle Treatment
Dermatologist|Skin Rash Treatment
Dermatologist|Acne Treatment
Dermatologist|Pigmentation
Dermatologist|Wart Removal
Dermatologist|Light Chemical Peels
Dermatologist|Medium Chemical Peels
Dermatologist|Deep Chemical Peels
Dermatologist|Glycolic Peel
Dermatologist|Lactic Peel
Dermatologist|TCA Peel
Dermatologist|Salicylic Peel
Dermatologist|Jessner Peel
Dermatologist|Nomelan Peel
Dermatologist|Cauterization
Dermatologist|Cryosurgery
Dermatologist|Ligation
Dermatologist|Excision
Dermatologist|Hair Fall Treatment
Dermatologist|Laser Hair Removal Bikini area
Dermatologist|Laser Hair Removal back(Male)
Dermatologist|Laser Hair Removal Full Body
Dermatologist|Laser Hair Removal Full Face
Dermatologist|Laser Hair Removal Upper Lip
Dermatologist|Laser Hair Removal Under Arms
Dermatologist|Laser Hair Removal Full Legs
Dermatologist|Laser hair removal Upper Lips
Dermatologist|Mole removal
Dermatologist|Surgical excision
Dermatologist|Surgical shave
Dermatologist|Skin grafting
Dermatologist|Blister grafting.
Dermatologist|Tattooing (micropigmentation).
Dermatologist|Dermaroller
Dermatologist|Dermabrasion
Dermatologist|Botox
Dermatologist|Soft-tissue fillers
Dermatologist|Dermal fillers
Dermatologist|Psoriasis
Dermatologist|Phototherapy
Dermatologist|Light Therapy
Dermatologist|Acne Scar Treatment
Dermatologist|Infini Microneedling
Dermatologist|Bellafill
Dermatologist|Fractionated Laser Skin Resurfacing
Dermatologist|Dermabrasion
Dermatologist|Micro-dermabrasion
Dermatologist|Chemical peels
Dermatologist|Eczema Treatment/Atopic Dermatitis
Pediatrician|Pediatric Consultation
Pediatrician|Nursemaid’s Elbow
Pediatrician|Bladder Catheterization
Pediatrician|Giving Immunizations
Pediatrician|Incision and Drainage of Abscess
Pediatrician|Lumbar Puncture (Cerebrospinal Fluid Collection)
Pediatrician|Simple Laceration Repair
Pediatrician|Removal of a Foreign Body
Pediatrician|Temporary Splinting of a Fracture
Pediatrician|Physical Examinations
Pediatrician|Cover Test for Strabismus
Pediatrician|Heart Murmur Treatment
Pediatrician|Hip Examination
Pediatrician|Ortolani
Pediatrician|pGALS
Pediatrician|Reduction of Simple Dislocation in infants
Pediatrician|Reduction of elbow dislocation in infants
Pediatrician|Pediatric Resuscitation
Pediatrician|Neonatal Endotracheal Intubation
Pediatrician|Bag-Mask Ventilation
Pediatrician|Umbilical Catheterization
Pediatrician|Vascular(Venous) Access in Children
Pediatrician|Intravenous Access
Pediatrician|Venipuncture
Cardiologist|Cardiologist Consultation
Cardiologist|Electrocardiogram
Cardiologist|Echocardiogram
Cardiologist|Transthoracic echocardiogram
Cardiologist|Transesophageal echocardiogram
Cardiologist|Doppler echocardiogram
Cardiologist|Stress echocardiogram
Cardiologist|Cardiovascular magnetic resonance
Cardiologist|Cardiac catheterization
Cardiologist|Dobutamine nuclear imaging
Cardiologist|Rotational atherectomy
Cardiologist|Cather Ablation
Cardiologist|Radiofrequency ablation
Cardiologist|Cryoablation
Cardiologist|Aortic aneurysm
Cardiologist|Open abdominal or open chest repair
Cardiologist|Endovascular repair
Cardiologist|Aortic Valve Surgery
Cardiologist|Mechanical valves
Cardiologist|Biological valves
Cardiologist|Homograft valve (also called allograft)
Cardiologist|Pacemakers
Cardiologist|Single Chamber Pacemakers
Cardiologist|Dual chamber pacemakers
Cardiologist|Biventricular pacemaker
Cardiologist|Implantable Cardioverter Defibrillator
Cardiologist|Angioplasty
Cardiologist|Coronary Angioplasty
Cardiologist|Peripheral Angioplasty
Cardiologist|Carotid Angioplasty
Cardiologist|Renal Artery Angioplasty
Cardiologist|Venous Angioplasty
Cardiologist|Percutaneous transluminal coronary angioplasty
Cardiologist|Stent
Cardiologist|Balloon Angioplasty
Cardiologist|Coronary Angiography
Cardiologist|Ballooning
Cardiologist|Transcatheter aortic valve replacement
Cardiologist|MitraClip
Cardiologist|Atrial septal defect (ASD) Closure
Cardiologist|Patent ductus arteriosus (PDA) closure
Cardiologist|Pericardiocentesis
Cardiologist|Thallium scan
Cardiologist|Positron emission tomography (PET) scan
Cardiologist|Holter
IVF|Infertility & Artificial Insemination
IVF|Hysteroscopic IVF (In Vitro Fertilization)
IVF|Laparoscopic IVF (In Vitro Fertilization)
IVF|Laparotomy IVF (In Vitro Fertilization)
IVF|Ovarian Reserve Assessment
IVF|Hysterosalpinogram (HSG)
IVF|Saline Infusion Sonohysterogram
IVF|Office Hysteroscopy
IVF|Follicular Dynamic Ultrasound (FD)
IVF|Semen Analysis
IVF|Egg Retrieval
IVF|Varicocelectomy
IVF|Vasectomy Reversal (Vasovasotomy/ Vasoepididymostomy)
IVF|Sperm Retrieval (Epididymal Aspiration)
IVF|Intrauterine Insemination Treatment (IUI)
IVF|Elective Single Embryo Transfer (eSET)
IVF|Cryopreservation (Egg Freezing)
IVF|Ovarian Suppression
IVF|Laser Assisted Hatching
IVF|Blastocyst Culture & Transfer
IVF|Frozen Embryo Transfer
IVF|T.E.S.A (Testicular Sperm Aspiration)
IVF|IVF (In Vitro Fertilization)
Pathologists|Absolute Eosinophil Count (AEC) Test
Pathologists|Absolute Lymphocyte Count (ALC) Test
Pathologists|Absolute Neutrophil Count (ANC) Test
Pathologists|Albumin Test
Pathologists|Albumin - Cerebrospinal Fluid Test
Pathologists|Alkaline Phosphate (ALP) Test
Pathologists|Ammonia Blood Test
Pathologists|Amoebic Serology Test
Pathologists|Anti-cyclic citrullinated peptide (Anti CCP) Test
Pathologists|Anti Double Stranded DNA Antibody (anti-dsDNA) Test
Pathologists|Acquired Immunodefiency Virus (HIV) Test
Pathologists|Acid-Fast Bacilli (AFB) Stain Test
Pathologists|Adenosine Deaminase (ADA) Test
Pathologists|All Body Fluid Rapid Test
Pathologists|Amylase Test
Pathologists|Anti Thyroglobulin Anti Body Test
Pathologists|Antistreptolysin O (A.S.O.) Titer Test
Pathologists|Bilirubin Direct Test
Pathologists|Blood Group  (A, B, C) & Rhesus (RH) Test
Pathologists|Blood Pherpherial Smear (PIS) Test
Pathologists|Malaria Parasite (MP) Test
Pathologists|Blood Sugar (Fasting) Test
Pathologists|Blood Urea Test
Pathologists|Blood Culture Test
Pathologists|Beta Human Chorionic Gonadotropin (HCG) Test
Pathologists|Bleeding Time (BT) Test
Pathologists|Clotting Time (CT) Test
Pathologists|C-Peptide Test
Pathologists|Malaria Serology Test
Pathologists|Mantaux Test
Pathologists|Occult Blood (Stool ) Examination
Pathologists|Parathyroid Hormone (PTH) Test
Pathologists|Platelet Count (PLT) Test
Pathologists|Potassium (K+) Test
Pathologists|Progesterone (P4) Test
Pathologists|Prolactin (PRL) Test
Pathologists|Pregnancy Test
Pathologists|Protein Test
Pathologists|Protein Electrophoresis Test
Pathologists|Prostate Specific Antigen (PSA) Test
Pathologists|Partial thromboplastin time (PTT) Test
Pathologists|Papanicolaou (PAP) Smear Test
Pathologists|Rheumatoid Arthritis (R A) Factor Test
Pathologists|Red Blood Cell (RBC) Count Test
Pathologists|Rubella Immunoglobulin G (IgG) Test
Pathologists|Rubella IV Test
Pathologists|Reticulocyte Count Test
Pathologists|Semen Analysis (Report & Test)
Pathologists|Semen Carcinoma In-situ (CIS) Test
Pathologists|Serum Glutamic-Oxaloacetic Transaminase (SGOT) Test
Pathologists|Serum Glutamic Pyruvic Transaminase (SGPT) Test
Pathologists|Sodium ( NA +) Test
Pathologists|Stool Examination Test
Pathologists|Triiodothyronine (T3) Test
Pathologists|Thyroxin (T4) Test
Pathologists|Thyroid Stimulating Hormone (TSH) Test
Pathologists|Testosterone Test
Pathologists|Free Testosterone Test
Pathologists|C-Reactive Protein (CRP) Test
Pathologists|Cancer Antigen (CA) -125 Ovarian Test
Pathologists|Cancer Antigen (CA) -15.3 Breast Cancer Marker Test
Pathologists|Cancer Antigen (CA) - 19.9 Pancreatic Test
Pathologists|Cancer Antigen (CA) -72.4 Castric Cancer Test
Pathologists|Carbamazepine (CMP) Test
Pathologists|Carcino Embryonic Antigen (CEA) Test
Pathologists|Creatinine Kinase (CK) Test
Pathologists|Dengue (Ns-1 Antigen) Test
Pathologists|Dengue (IgG & 'gm) Test
Pathologists|Electrolyte Test
Pathologists|Erythrocyte Sedimentation Rate (ESR)
Pathologists|Estradiol (E2) Test
Pathologists|Folic Acid Test
Pathologists|Ferritin Test
Pathologists|Follicle - Stimulating Hormone (FSH) Test
Pathologists|Fine Needle Aspiration Cytology  (F.N.A.C) Test
Pathologists|Gamma-Glutamyl Transferase (GGT) Test
Pathologists|Gram Stain Test
Pathologists|Growth Hormone Test
Pathologists|Heamogram Test
Pathologists|Hepatitis-B Virus Surface Antigen (HbsAg) Rapid Test
Pathologists|Hepatitis-B Virus Surface Antigen (HbsAg) Elisa Test
Pathologists|Hepatitis C-Virus (HCV) Rapid Test
Pathologists|Hepatitis C-Virus (HCV) Elisa Test
Pathologists|Human Immuno Virus (HIV -1) Test
Pathologists|Human Immuno Virus (HIV-2) Test
Pathologists|Hemoglobin (Hb) Test
Pathologists|Hemoglobin (Hb) A1C Test
Pathologists|Immunoglobin E (IgE) Total
Pathologists|Immunoglobin IgA Test
Pathologists|Immunoglobin IgG Test
Pathologists|Immunoglobin IgM Test
Pathologists|Immunoglobulin (IgG & Igm) Test
Pathologists|Insulin (F) Test
Pathologists|Insulin (P.P.) Test
Pathologists|Iron + Total iron-binding capacity (TIBC) Test
Pathologists|Kidney Function (K.F.T) Test
Pathologists|Urinalysis KFT Test
Pathologists|Serum Creatinine KFT Test
Pathologists|Blood Urea Nitrogen (BUN) KFT Test
Pathologists|Estimated Glomerular Filtration Rate (GFR) KFT Test
Pathologists|Liver Function Test (LFT)
Pathologists|LIPID Profile Examination
Pathologists|Low Density Lipoprotein (LDL) Test
Pathologists|Lactate Dehydrogenase (LDH) Test
Pathologists|Lipase Test
Pathologists|Lactate Test
Pathologists|Magnesium Test
Pathologists|Triglyceride (TG) Test
Pathologists|Total Leucocyte Count (T.L.C) Test
Pathologists|Triple Test
Pathologists|Troponin Test
Pathologists|Urine Microalbumin Test
Pathologists|Uric Acid Test
Pathologists|Urine Sodium Test
Pathologists|Urine Potassium Test
Pathologists|Venereal Disease Research Laboratory (VDRL) Test
Pathologists|Vitamin B-12 Test
Pathologists|Complete Blood Count
Pathologists|Packed Cell Volume
Pathologists|Peripheral Smear
Pathologists|Malaria Antigen
Pathologists|Malaria Antibody
Pathologists|Widal Test
Pathologists|Typhidot IgG & IgM
Pathologists|C - reactive protein
Pathologists|Indirect Coombs Test
Pathologists|High Density Lipoprotein (HDL) Test
Pathologists|Thyroid Profile
Pathologists|Free Thyroxine 3 (ft3)
Pathologists|Free Thyroxine (ft4)
Pathologists|Blood Sugar Post Prandian
Pathologists|Differential Leucocyte Count (DLC)
Pathologists|Total Eosinophine Count (TEC)
Pathologists|Mean Corpuscular Volume (MCV)
Pathologists|Mean Corpuscular Hemoglobin Concentration (MCHC)
Pathologists|Cloot Reaction Time
Pathologists|ABO Group
Pathologists|RH type
Pathologists|Direct Coombs Test
Pathologists|Prothrombin time
Pathologists|Activated Partial Thromboplastin Time (APTT)
Pathologists|RH Antibody Titer Test
Pathologists|Glucose 6 Phosphate Dehydrogenase Deficiency (G6PD) Qualitative
Pathologists|Glucose 6 Phosphate Dehydrogenase Deficiency (G6PD) Quantitative
Pathologists|Serum Test
Pathologists|Serum Urice acid
Pathologists|serum acid phosphate
Pathologists|serum amalase
Pathologists|serum lipase
Pathologists|Glycosylated Haemoglobin (HBA1C)
Pathologists|Blood Sugar Random
Pathologists|Total Bilirubin
Pathologists|Total Protein Test
Pathologists|Creatinine Clearence Test
Pathologists|Glucose Tolerance Test (GTT)
Pathologists|Gas Chromatography Test (GCT)
Pathologists|Gamma-glutamyl Transferase (GGT)
Pathologists|Creatine Kinase Myocardial Band (CPK MB)
Pathologists|Very Low Density Lipoprotein (VLDL)
Pathologists|Luteinizing Hormone (LH) Test
Pathologists|Prolactine Test
Pathologists|Dehydroepiandrosterone Sulfate (DHEAS) Test
Pathologists|Estradiol Uncongugated
Pathologists|Cortisol Test
Pathologists|Adrenocorticotropic Hormone (ACTH)
Pathologists|Phenytoy Test
Pathologists|Cearbamazepine Test
Pathologists|Lithium Test
Pathologists|Antistreptolysin O Titer (ASO Titre) Test
Pathologists|RA Factor
Pathologists|Typhidot Test
Pathologists|Widal Test (Tube)
Pathologists|Widal Test (Slide)
Pathologists|Treponema Pallidum Antibodies
Pathologists|Torch Profile IgG
Pathologists|Torch Profile IgM
Pathologists|Torch Profile (IgG & IgM)
Pathologists|Rubella Virus (IgM/IgG antibody)
Pathologists|Herpes - II IgM
Pathologists|Tb ELISA Test (IgG, IgA, IgM)
Pathologists|Tb ELISA Test IgG
Pathologists|Tb ELISA Test IgA
Pathologists|Tb ELISA Test IgM
Pathologists|Alpha Feto Protein
Pathologists|Anti nuclear antibody
Pathologists|Aspergilluns antibody
Pathologists|Carcinoembryonic Antigen (CEA) Test
Pathologists|Measles IgG & IgM
Pathologists|Cardiolipin AB
Pathologists|AFB Culture Test
Pathologists|Scraping For Fungus
Pathologists|AFB Stain Test
Pathologists|Urine R/M
Pathologists|Bile Salt & Bile Pigment
Pathologists|Urobiliongen
Pathologists|Acetone/ Ketone Bodies
Pathologists|Michroalbumin Test
Pathologists|Bence Jones Proteins
Pathologists|Elisa Test for pregnancy
Pathologists|Urinary Urea Test
Pathologists|Urine For Chyluria
Pathologists|Urine for Cytology
Pathologists|Haemoglobuinuri Test
Pathologists|Urine Ph
Pathologists|Urine Sugar
Pathologists|Stool R/M
Pathologists|Antenatal Panel
Pathologists|Fever Profile
Pathologists|Small Biopsy
Pathologists|Medium Biopsy
Pathologists|Large Biopsy
Pathologists|Cerebrospinal fluid test (CSF)
Pathologists|Prostetic fluid examination
Pathologists|Stone Analysis
Pathologists|Vomitus Analysis
Pathologists|Anti ccp
Pathologists|Bacterial Memingitis Screen
Pathologists|Homocystin
Pathologists|High Sensitivity C-Reactive Protein (HSCRP)
Pathologists|Lipoprotein (A)
Pathologists|Anti-TTG (IgA)
Pathologists|Antibodies to Tissue Transglutaminase (Anti TPO)
Pathologists|Menstruational Blood Test
Pathologists|Sodium Blood Test
Pathologists|Potassium Blood Test
Pathologists|LDL Cholestrol
Pathologists|Sodium Test
Pathologists|Calcium Total
Pathologists|Calcium Ionised
Pathologists|Calcium total & ionised
Pathologists|phosporous test
Pathologists|S Lithium
Pathologists|S Magnesium
Pathologists|Toxoplasma IgM Antibody Titer Test
Pathologists|Cancer Antigen 125
Pathologists|Cancer Antigen 15.9
Pathologists|Cancer Antigen 19.9
Pathologists|IgG, IgM, IgA quantitative
Pathologists|Total IgE
Pathologists|PSA free
Pathologists|Anti Cardioliping Antibody (IgM)
Pathologists|Anti Phospholipid
Pathologists|Urine/ Stool/ Sputum Test
Pathologists|Urinary Amalase
Pathologists|Sputum For AFB
Pathologists|Sputum Gran & AFB Stain
Pathologists|Hplc (HB Electrophorosys)
Pathologists|Hematology
Pathologists|Coagulation Profile
Pathologists|Anaemia Screening
Pathologists|Biochemistry Test
Pathologists|Kleihauer
Pathologists|Cardiac Profile
Pathologists|Extended Lipid Profile
Pathologists|Arthritis Profile
Pathologists|Advanced Lipid Profile
Pathologists|Iron Profile
Pathologists|Double Marker
Pathologists|Thalassemia
Pathologists|Diabetic Profile
Pathologists|Urine Profile
Pathologists|Urine Examination
Physiotherapist|Consultation Physiotherapist
Physiotherapist|ELECTROTHERAPY
Physiotherapist|Transcutaneous Electrical Nerve Stimulation (TENS)
Physiotherapist|Interferential Therapy
Physiotherapist|Percutaneous electrical nerve stimulation (PENS)
Physiotherapist|rTMS (Repetitive transcranial magnetic stimulation)
Physiotherapist|LASER THERAPY
Physiotherapist|Low level laser therapy
Physiotherapist|High power laser therapy
Physiotherapist|PARAFFIN WAX THERAPY
Physiotherapist|Direct Pouring
Physiotherapist|Toweling / Bandaging Method
Physiotherapist|Brushing / Painting Method
Physiotherapist|Dip and Wrap / Glove Method
Physiotherapist|DIATHERMY
Physiotherapist|Shortwave diathermy
Physiotherapist|Microwave diathermy
Physiotherapist|Ultrasound diathermy
Physiotherapist|Manual spinal traction
Physiotherapist|Mechanical spinal traction
Physiotherapist|Fitting Of Orthosis
Physiotherapist|Moist heat packs
Physiotherapist|Lumbago/Lower Back Pain Treatment
Physiotherapist|Skeletal Muscle Therapy
Physiotherapist|Dry Needling Therapy
Physiotherapist|Muscle Stimulation Therapy
Physiotherapist|Sciatica Pain Treatment
Physiotherapist|Gait Analysis
Ophthalmologist|Ophthalmologist Consultation
Ophthalmologist|Small Incision Lenticular Extraction (SMILE)
Ophthalmologist|Laser-Assisted In Situ Keratomileusis (LASIK)
Ophthalmologist|Cataract Eye Surgery
Ophthalmologist|Hypertensive retinopathy
Ophthalmologist|Laser photocoagulation
Ophthalmologist|Argon Laser Trabeculoplasty (ALT)
Ophthalmologist|Selective Laser Trabeculoplasty (SLT)
Ophthalmologist|Squint & Orthoptics
Ophthalmologist|Low vision aids
Ophthalmologist|Corneal Transplant(keratoplasty)
Ophthalmologist|Limbal stem cell transplantation (LSCT)
Ophthalmologist|Corneal tear repair
Ophthalmologist|Stitch-less Pterygium surgery with graft
Ophthalmologist|Collagen Cross Linking (C3R) Surgery
Ophthalmologist|Amniotic membrane grafting
Ophthalmologist|Oculoplasty
Ophthalmologist|Prosthetic eye
Ophthalmologist|Ptosis surgery
Ophthalmologist|Blepharoplasty
Ophthalmologist|East Asian blepharoplasty
Ophthalmologist|Levator resection
Ophthalmologist|Müller muscle resection
Ophthalmologist|Frontalis sling operation
Ophthalmologist|Canthectomy
Ophthalmologist|Lateral canthotomy
Ophthalmologist|Lateral canthopexy
Ophthalmologist|Canthorrhaphy
Ophthalmologist|Epicanthoplasty
Ophthalmologist|Tarsorrhaphy
Ophthalmologist|The Hughes procedure
Ophthalmologist|Enucleation
Ophthalmologist|Evisceration
Ophthalmologist|Exenteration
Ophthalmologist|Orbital Tumor Removal
Ophthalmologist|Optical Coherence Tomography
Ophthalmologist|Visual Fields / Perimetry
Ophthalmologist|Ultrasound A Scan
Ophthalmologist|Fundus Photo
Ophthalmologist|Gonioscopy
Ophthalmologist|Corneal Pachymetry
Ophthalmologist|Trabeculotomy
Ophthalmologist|Capsulotomy
Ophthalmologist|YAG peripheral iridotomy
Ophthalmologist|Micro incision surgery
Ophthalmologist|Phaco surgery
Ophthalmologist|vitrectomy Surgery
Ophthalmologist|Silicone Oil Removal
Ophthalmologist|Nystagmus Surgery
Ophthalmologist|Optic Nerve Sheath Fenestration (ONSF)
Ophthalmologist|Glaucoma Surgery
Ophthalmologist|Avastin Injection
Ophthalmologist|Lucentis Injection
Ophthalmologist|Intravitreal Ozurdex
Ophthalmologist|Lensectomy
Ophthalmologist|Chalazion Treatment
Ophthalmologist|Pterygium Surgery
Ophthalmologist|Enucleation/ Evisceration
Ophthalmologist|Dacrosystorhinostomy (DCR)
Ophthalmologist|Collagen Cross Linking
Ophthalmologist|Scleral Fixation Of  Intraocular Lens
Ophthalmologist|EyePCL
Ophthalmologist|OPD Consultation
Ophthalmologist|Emergency visit
Ophthalmologist|OT Charges
Ophthalmologist|Anaesthetist Stand by Fee
Ophthalmologist|Anaesthetist Fee for short G.A (less than 45 min)
Ophthalmologist|Anaesthetist Fee for long G.A (more than 45 min)
Ophthalmologist|GA Consumables and Gases - short case (less than 45 min.)
Ophthalmologist|GA Consumables and Gases - long case (more than 45 min.)
Ophthalmologist|Cardiologist standby
Ophthalmologist|Semi Private Room AC
Ophthalmologist|Private Room AC
Ophthalmologist|Viral Markers Positive Cases - add on for all surgical procedure (HIV/HCV/HbSAg)
Ophthalmologist|Ocuflex
Ophthalmologist|Aurovue
Ophthalmologist|Acrysof SP
Ophthalmologist|Acrysof MP(Expand)
Ophthalmologist|Biotech Toric
Ophthalmologist|Biotech Multifocal
Ophthalmologist|Micro Incision Cataract Surgery – MICS
Ophthalmologist|Acrysof IQ (Alcon)(+ 6 to + 30)
Ophthalmologist|Preloaded Ultrasert IQ (Alcon)
Ophthalmologist|Preloaded Hoya Vivinex
Ophthalmologist|Tecnis-1
Ophthalmologist|Acrysof Toric
Ophthalmologist|Tecnis Toric
Ophthalmologist|Zeiss Toric
Ophthalmologist|MICS with MULTIFOCAL IOL
Ophthalmologist|Zeiss MF
Ophthalmologist|Restor MF
Ophthalmologist|Symfony Bifocal (Multifocal)
Ophthalmologist|Pan Optix Trifocal  ( Ist Option )
Ophthalmologist|Pan Optix Trifocal Toric
Ophthalmologist|Zeiss Trifocal (Multifocal)
Ophthalmologist|Zeiss Multifocal Toric
Ophthalmologist|Restor Multifocal Toric
Ophthalmologist|SymfonyMultifocal Toric
Ophthalmologist|Zeiss Trifocal Toric
Ophthalmologist|PC Rent with Anterior Chamber IOL(Kelman)
Ophthalmologist|PC Rent with Posterior Chamber IOL (Acrysof IQ)
Ophthalmologist|PC Rent with Sulcus Supported IOL (Acrysof MP)
Ophthalmologist|ECCE with Non-Foldable PMMA IOL
Ophthalmologist|Paediatric Cataract without IOL under G.A. (G.A included)
Ophthalmologist|Paediatric Cataract with Acrysof IQ IOL under G.A.(G.A included)
Ophthalmologist|Secondary IOL (Acrysof MP)
Ophthalmologist|IOL Exchange with Acrysof MP (operated elsewhere)
Ophthalmologist|Scleral Fixated IOL (SFIOL) with suture
Ophthalmologist|Glued IOL (SFIOL) with Fibrin Glue
Ophthalmologist|MICS in Subluxated Cataract
Ophthalmologist|Cataract with Aniridic IOL
Ophthalmologist|Piggy Back IOL (+5 to -5) (Rayner Sulcoflex)
Ophthalmologist|Piggy Back Toric IOL (-3D to + 3D Sph with upto 2D cyl)(RaynerSulcoflex)
Ophthalmologist|Standard Lasik
Ophthalmologist|C Lasik Aspheric
Ophthalmologist|PRK/E – Lasik
Ophthalmologist|SBK
Ophthalmologist|Advanced Surface Ablation (ASA)—Aspheric
Ophthalmologist|SBK Custom-Q
Ophthalmologist|Bladeless Femto Custom Q
Ophthalmologist|Bladeless Contoura Vision
Ophthalmologist|Epi- Contoura
Ophthalmologist|ICL-Spherical (Swiss)
Ophthalmologist|ICL-Toric (Swiss)
Ophthalmologist|Refractive Lens Exchange with SP lens (Both Eyes)
Ophthalmologist|Refractive Lens Exchange with IQ lens (Both Eyes)
Ophthalmologist|Refractive Lens Exchange with Trifocal Panoptix lens (Both Eyes)
Ophthalmologist|RLE with Multifocal IOL Zeiss
Ophthalmologist|Collagen Cross linking (C3R)
Ophthalmologist|Pterygium Excision with conjunctival autograft with Suture
Ophthalmologist|Pterygium Excision with conjunctival autograft with Glue
Ophthalmologist|Amniotic Membrane Transplant (AMT) with Glue
Ophthalmologist|Limbal Dermoid Excision
Ophthalmologist|Limbal Autograft (Stem Cell) with BCL with Glue
Ophthalmologist|Corneal Tear Repair with AC Formation
Ophthalmologist|Corneo-Scleral Tear Repair with AC Formation
Ophthalmologist|Corneo-Scleral Tear repair with primary Lid Repair
